Station,r/R,X_in,Y_in,Z_in
6,0.714286,1.09472600,0.08664236,28.12148481
6,0.714286,0.95494635,0.11163210,28.12148481
6,0.714286,0.81451781,0.13474419,28.12148481
6,0.714286,0.67385206,0.15596332,28.12148481
6,0.714286,0.53360197,0.17509885,28.12148481
6,0.714286,0.39548374,0.19204454,28.12148481
6,0.714286,0.25973292,0.20687970,28.12148481
6,0.714286,0.12838786,0.21876847,28.12148481
6,0.714286,-0.03215702,0.22986962,28.12148481
6,0.714286,-0.07884126,0.23237276,28.12148481
6,0.714286,-0.23703606,0.23822489,28.12148481
6,0.714286,-0.34762423,0.23873344,28.12148481
6,0.714286,-0.45213072,0.23586790,28.12148481
6,0.714286,-0.55024269,0.23002441,28.12148481
6,0.714286,-0.64061375,0.21994592,28.12148481
6,0.714286,-0.72278420,0.20630037,28.12148481
6,0.714286,-0.79293233,0.18868138,28.12148481
6,0.714286,-0.84483519,0.16754255,28.12148481
6,0.714286,-0.87737331,0.14281614,28.12148481
6,0.714286,-0.89290367,0.11189535,28.12148481
6,0.714286,-0.89290367,0.11189535,28.12148481
6,0.714286,-0.88485240,0.08313446,28.12148481
6,0.714286,-0.85794933,0.06289424,28.12148481
6,0.714286,-0.81119813,0.04292379,28.12148481
6,0.714286,-0.74578988,0.02271937,28.12148481
6,0.714286,-0.66769242,0.00386323,28.12148481
6,0.714286,-0.58085726,-0.01427404,28.12148481
6,0.714286,-0.48569932,-0.03200320,28.12148481
6,0.714286,-0.38378880,-0.04985303,28.12148481
6,0.714286,-0.27537140,-0.06768391,28.12148481
6,0.714286,-0.11952291,-0.09225916,28.12148481
6,0.714286,-0.07341786,-0.09938407,28.12148481
6,0.714286,0.08550508,-0.12342794,28.12148481
6,0.714286,0.21595946,-0.14242422,28.12148481
6,0.714286,0.35112843,-0.16190248,28.12148481
6,0.714286,0.48897810,-0.18099114,28.12148481
6,0.714286,0.62925505,-0.19991237,28.12148481
6,0.714286,0.77027439,-0.21830993,28.12148481
6,0.714286,0.91136983,-0.23610031,28.12148481
6,0.714286,1.05213416,-0.25323249,28.12148481
6,0.714286,1.19283547,-0.26966751,28.12148481
6,0.714286,1.33377436,-0.28540676,28.12148481
6,0.714286,1.47592670,-0.30046370,28.12148481
6,0.714286,1.62068899,-0.31479568,28.12148481
6,0.714286,1.76775491,-0.32814665,28.12148481
6,0.714286,1.91489329,-0.34001934,28.12148481
6,0.714286,2.05718087,-0.34979678,28.12148481
6,0.714286,2.19240109,-0.35716493,28.12148481
6,0.714286,2.32184387,-0.36203151,28.12148481
6,0.714286,2.44663315,-0.36442851,28.12148481
6,0.714286,2.56779524,-0.36426690,28.12148481
7,0.857143,2.41825776,-0.32859216,33.74578178
7,0.857143,2.30909168,-0.29466502,33.74578178
7,0.857143,2.19638472,-0.25952164,33.74578178
7,0.857143,2.07918038,-0.22315436,33.74578178
7,0.857143,1.95639800,-0.18567331,33.74578178
7,0.857143,1.82682827,-0.14710097,33.74578178
7,0.857143,1.69244137,-0.10848511,33.74578178
7,0.857143,1.55771403,-0.07142190,33.74578178
7,0.857143,1.42470647,-0.03659726,33.74578178
7,0.857143,1.29372074,-0.00412499,33.74578178
7,0.857143,1.16348874,0.02628845,33.74578178
7,0.857143,1.03311884,0.05484568,33.74578178
7,0.857143,0.90233360,0.08158854,33.74578178
7,0.857143,0.77089527,0.10658697,33.74578178
7,0.857143,0.63919037,0.12981686,33.74578178
7,0.857143,0.50782808,0.15108400,33.74578178
7,0.857143,0.37841878,0.17024804,33.74578178
7,0.857143,0.25118565,0.18737774,33.74578178
7,0.857143,0.12802503,0.20164122,33.74578178
7,0.857143,-0.02259498,0.21586027,33.74578178
7,0.857143,-0.06640991,0.21931554,33.74578178
7,0.857143,-0.21494237,0.22855907,33.74578178
7,0.857143,-0.31885854,0.23166319,33.74578178
7,0.857143,-0.41713707,0.23146044,33.74578178
