Station,r/R,X_in,Y_in,Z_in
6,0.714286,0.35112843,-0.16190248,28.12148481
6,0.714286,0.48897810,-0.18099114,28.12148481
6,0.714286,0.62925505,-0.19991237,28.12148481
6,0.714286,0.77027439,-0.21830993,28.12148481
6,0.714286,0.91136983,-0.23610031,28.12148481
6,0.714286,1.05213416,-0.25323249,28.12148481
6,0.714286,1.19283547,-0.26966751,28.12148481
6,0.714286,1.33377436,-0.28540676,28.12148481
6,0.714286,1.47592670,-0.30046370,28.12148481
6,0.714286,1.62068899,-0.31479568,28.12148481
6,0.714286,1.76775491,-0.32814665,28.12148481
6,0.714286,1.91489329,-0.34001934,28.12148481
6,0.714286,2.05718087,-0.34979678,28.12148481
6,0.714286,2.19240109,-0.35716493,28.12148481
6,0.714286,2.32184387,-0.36203151,28.12148481
6,0.714286,2.44663315,-0.36442851,28.12148481
6,0.714286,2.56779524,-0.36426690,28.12148481
7,0.857143,2.41825776,-0.32859216,33.74578178
7,0.857143,2.30909168,-0.29466502,33.74578178
7,0.857143,2.19638472,-0.25952164,33.74578178
7,0.857143,2.07918038,-0.22315436,33.74578178
7,0.857143,1.95639800,-0.18567331,33.74578178
7,0.857143,1.82682827,-0.14710097,33.74578178
7,0.857143,1.69244137,-0.10848511,33.74578178
7,0.857143,1.55771403,-0.07142190,33.74578178
7,0.857143,1.42470647,-0.03659726,33.74578178
7,0.857143,1.29372074,-0.00412499,33.74578178
7,0.857143,1.16348874,0.02628845,33.74578178
7,0.857143,1.03311884,0.05484568,33.74578178
7,0.857143,0.90233360,0.08158854,33.74578178
7,0.857143,0.77089527,0.10658697,33.74578178
7,0.857143,0.63919037,0.12981686,33.74578178
7,0.857143,0.50782808,0.15108400,33.74578178
7,0.857143,0.37841878,0.17024804,33.74578178
7,0.857143,0.25118565,0.18737774,33.74578178
7,0.857143,0.12802503,0.20164122,33.74578178
7,0.857143,-0.02259498,0.21586027,33.74578178
7,0.857143,-0.06709315,0.20833671,33.74578178
7,0.857143,-0.21527760,0.21733660,33.74578178
7,0.857143,-0.31883342,0.21948907,33.74578178
7,0.857143,-0.41664948,0.21714831,33.74578178
7,0.857143,-0.50793812,0.21038489,33.74578178
7,0.857143,-0.59141587,0.19797987,33.74578178
7,0.857143,-0.66562595,0.18093474,33.74578178
7,0.857143,-0.72532225,0.16038677,33.74578178
7,0.857143,-0.76218320,0.14118182,33.74578178
7,0.857143,-0.77644130,0.13162682,33.74578178
7,0.857143,-0.83422173,0.12573869,33.74578178
7,0.857143,-0.78576393,0.13806110,33.74578178
7,0.857143,-0.79745383,0.13638525,33.74578178
7,0.857143,-0.78432076,0.11884581,33.74578178
7,0.857143,-0.74713489,0.09455699,33.74578178
7,0.857143,-0.69027517,0.06761098,33.74578178
7,0.857143,-0.61974762,0.04177789,33.74578178
7,0.857143,-0.54014377,0.01767558,33.74578178
7,0.857143,-0.45203904,-0.00476598,33.74578178
7,0.857143,-0.35722401,-0.02599725,33.74578178
7,0.857143,-0.25599666,-0.04620172,33.74578178
7,0.857143,-0.11017497,-0.07315555,33.74578178
7,0.857143,-0.06896049,-0.09175475,33.74578178
7,0.857143,0.07983693,-0.11806592,33.74578178
7,0.857143,0.20199668,-0.13896981,33.74578178
7,0.857143,0.32857596,-0.16043745,33.74578178
7,0.857143,0.45768349,-0.18160363,33.74578178
7,0.857143,0.58907596,-0.20267055,33.74578178
7,0.857143,0.72117819,-0.22326430,33.74578178
7,0.857143,0.85336592,-0.24329077,33.74578178
7,0.857143,0.98525767,-0.26269248,33.74578178
7,0.857143,1.11710625,-0.28143927,33.74578178
7,0.857143,1.24919415,-0.29953959,33.74578178
7,0.857143,1.38243815,-0.31702924,33.74578178
7,0.857143,1.51815161,-0.33390142,33.74578178
7,0.857143,1.65605259,-0.34990888,33.74578178
7,0.857143,1.79405573,-0.36453253,33.74578178
7,0.857143,1.92754852,-0.37707714,33.74578178
7,0.857143,2.05445512,-0.38719572,33.74578178
7,0.857143,2.17598991,-0.39483241,33.74578178
7,0.857143,2.29320837,-0.40004391,33.74578178
7,0.857143,2.40707708,-0.40277115,33.74578178
8,1.000000,2.25834467,-0.36456210,39.37007874
8,1.000000,2.15694531,-0.33030790,39.37007874
8,1.000000,2.05225963,-0.29483460,39.37007874
8,1.000000,1.94339258,-0.25811229,39.37007874
8,1.000000,1.82933019,-0.22021806,39.37007874
8,1.000000,1.70894009,-0.18114411,39.37007874
8,1.000000,1.58404236,-0.14191499,39.37007874
8,1.000000,1.45879056,-0.10412659,39.37007874
8,1.000000,1.33509727,-0.06846794,39.37007874
8,1.000000,1.21324260,-0.03505241,39.37007874
8,1.000000,1.09204639,-0.00357596,39.37007874
8,1.000000,0.97067873,0.02617172,39.37007874
8,1.000000,0.84888091,0.05423625,39.37007874
8,1.000000,0.72643200,0.08068855,39.37007874
8,1.000000,0.60369323,0.10549692,39.37007874
8,1.000000,0.48123029,0.12846566,39.37007874
8,1.000000,0.36054726,0.14942552,39.37007874
